prev;next;prob;freq
Algo;DataScientist;0.25;1
Algo;DevOps;0.25;1
Algo;Revers;0.25;1
Algo;СУБД;0.25;1
Autotest;Auto-web-QA;0.25;1
Autotest;C++;0.25;1
Autotest;Java;0.25;1
Autotest;СУБД;0.25;1
BigData;DLE;0.31;9
BigData;Spring;0.1;3
BigData;Algo;0.07;2
BigData;C++;0.07;2
BigData;DataScientist;0.07;2
BigData;DevOps;0.07;2
BigData;Java;0.03;1
BigData;JavaScript;0.03;1
BigData;Linux;0.03;1
BigData;MS SQL Server;0.03;1
BigData;PHP;0.03;1
BigData;PythonFS;0.03;1
BigData;TeamLeader;0.03;1
BigData;WEBPython;0.03;1
BigData;СУБД;0.03;1
C++;Algo;0.19;7
C++;Python;0.19;7
C++;DataScientist;0.16;6
C++;Revers;0.14;5
C++;Linux;0.08;3
C++;JavaScript;0.05;2
C++;СУБД;0.05;2
C++;Android;0.03;1
C++;DLE;0.03;1
C++;JavaEE;0.03;1
C++;PHP;0.03;1
C++;TeamLeader;0.03;1
DLE;DataScientist;0.55;6
DLE;Algo;0.18;2
DLE;C++;0.09;1
DLE;DevOps;0.09;1
DLE;Python;0.09;1
DM;TeamLeader;1.0;1
DataScientist;Algo;0.22;2
DataScientist;JavaScript;0.11;1
DataScientist;Linux;0.11;1
DataScientist;MS SQL Server;0.11;1
DataScientist;Python;0.11;1
DataScientist;Revers;0.11;1
DataScientist;TeamLeader;0.11;1
DataScientist;СУБД;0.11;1
DevOps;Linux;0.32;24
DevOps;Python;0.12;9
DevOps;DataScientist;0.07;5
DevOps;Spring;0.07;5
DevOps;СУБД;0.07;5
DevOps;Java;0.05;4
DevOps;C++;0.04;3
DevOps;PHP;0.04;3
DevOps;Algo;0.03;2
DevOps;Autotest;0.03;2
DevOps;BigData;0.03;2
DevOps;DevOps;0.03;2
DevOps;JavaScript;0.03;2
DevOps;TeamLeader;0.03;2
DevOps;WEBPython;0.03;2
DevOps;MS SQL Server;0.01;1
DevOps;Revers;0.01;1
DevOps;iOS;0.01;1
DevOps;Сетевой инженер;0.01;1
Java;Spring;0.3;28
Java;JavaEE;0.15;14
Java;JavaScript;0.09;8
Java;СУБД;0.07;7
Java;Linux;0.06;6
Java;Algo;0.05;5
Java;BigData;0.05;5
Java;DevOps;0.04;4
Java;DataScientist;0.03;3
Java;Python;0.03;3
Java;TeamLeader;0.03;3
Java;C++;0.02;2
Java;Android;0.01;1
Java;Autotest;0.01;1
Java;C#;0.01;1
Java;MS SQL Server;0.01;1
Java;Revers;0.01;1
Java;WebPython;0.01;1
JavaEE;Spring;0.43;10
JavaEE;Java;0.26;6
JavaEE;DataScientist;0.09;2
JavaEE;Algo;0.04;1
JavaEE;Android;0.04;1
JavaEE;C++;0.04;1
JavaEE;DevOps;0.04;1
JavaEE;Python;0.04;1
JavaScript;Algo;0.19;3
JavaScript;Spring;0.19;3
JavaScript;DevOps;0.12;2
JavaScript;Python;0.12;2
JavaScript;СУБД;0.12;2
JavaScript;DataScientist;0.06;1
JavaScript;Linux;0.06;1
JavaScript;PHP;0.06;1
JavaScript;Revers;0.06;1
Linux;DevOps;0.36;10
Linux;Python;0.11;3
Linux;СУБД;0.11;3
Linux;BigData;0.07;2
Linux;Spring;0.07;2
Linux;TeamLeader;0.07;2
Linux;iOS;0.07;2
Linux;C++;0.04;1
Linux;Linux;0.04;1
Linux;MS SQL Server;0.04;1
Linux;Revers;0.04;1
MS SQL Server;Auto-web-QA;0.5;1
MS SQL Server;TeamLeader;0.5;1
PHP;СУБД;0.3;3
PHP;TeamLeader;0.2;2
PHP;Algo;0.1;1
PHP;C++;0.1;1
PHP;DLE;0.1;1
PHP;DataScientist;0.1;1
PHP;Linux;0.1;1
Python;DataScientist;0.18;8
Python;DLE;0.16;7
Python;Linux;0.11;5
Python;СУБД;0.09;4
Python;WebPython;0.07;3
Python;Algo;0.04;2
Python;BigData;0.04;2
Python;C++;0.04;2
Python;Java;0.04;2
Python;WEBPython;0.04;2
Python;Auto-web-QA;0.02;1
Python;Autotest;0.02;1
Python;DevOps;0.02;1
Python;PHP;0.02;1
Python;PythonFS;0.02;1
Python;QA-specialist;0.02;1
Python;Revers;0.02;1
Python;Spring;0.02;1
PythonFS;Python;0.67;6
PythonFS;C++;0.11;1
PythonFS;Java;0.11;1
PythonFS;JavaScript;0.11;1
QA-specialist;Auto-web-QA;1.0;1
Revers;JavaScript;1.0;1
Spring;Java;0.23;6
Spring;Algo;0.12;3
Spring;DevOps;0.12;3
Spring;JavaScript;0.12;3
Spring;СУБД;0.12;3
Spring;DataScientist;0.08;2
Spring;Revers;0.08;2
Spring;TeamLeader;0.08;2
Spring;Auto-web-QA;0.04;1
Spring;Python;0.04;1
TeamLeader;Spring;0.38;3
TeamLeader;Algo;0.12;1
TeamLeader;DataScientist;0.12;1
TeamLeader;DevOps;0.12;1
TeamLeader;JavaScript;0.12;1
TeamLeader;СУБД;0.12;1
WEBPython;DLE;0.2;2
WEBPython;DataScientist;0.2;2
WEBPython;Algo;0.1;1
WEBPython;DevOps;0.1;1
WEBPython;Linux;0.1;1
WEBPython;Python;0.1;1
WEBPython;Spring;0.1;1
WEBPython;iOS;0.1;1
WebPython;DataScientist;0.4;2
WebPython;Java;0.2;1
WebPython;Python;0.2;1
WebPython;iOS;0.2;1
СУБД;Linux;0.25;2
СУБД;PHP;0.25;2
СУБД;Algo;0.12;1
СУБД;JavaScript;0.12;1
СУБД;Revers;0.12;1
СУБД;Spring;0.12;1
